nom_du_projet,resume_du_projet,montant_engage,numero_dossier_ds,numero_ej,numero_operateur,operateur,demarche,nom_region,nom_departement,code_departement,siret_beneficiaire,raison_sociale_beneficiaire,forme_juridique_beneficiaire,code_commune,nom_commune
Réaliser la signalétique de plusieurs espaces naturels sous protection forte (APPB),"L’Isère compte 95 arrêtés préfectoraux de protection de biotopes dont le plus ancien date de 1984 et le plus récent, de 2023.
A ce jour, à peu près un tiers de ces sites en APPB ne possède pas de signalétique du tout ; et environ un dixième des sites possède une signalétique obsolète et/ou très dégradée.
L’absence de signalétique affaiblit l’information du grand public sur les limites des APPB et peut générer des infractions involontaires ou « de bonne foi » aux interdictions ou prescriptions fixées par le règlement du site.",94585.20,18083235,1513332943,,,SN Biodiversité,Auvergne-Rhône-Alpes,Isère,38,13001096000016,DIRECTION DEPARTEMENTALE DES TERRITOIRES ISERE,Service déconcentré de l'État à compétence (inter) départementale,38001,Les Abrets en Dauphiné
Aménagements en faveur des espèces PNA dans les milieux agricoles d’Auvergne-Rhône-Alpes,"La région AURA abrite un nombre important d’espèces bénéficiant de plans nationaux d’actions dont bon nombre sont présentes dans les milieux agricoles, notamment les milans royaux, pies-grièches, chiroptères, sonneur à ventre jaune, odonates, papillons, flore messicole, vipères (en cours rédaction). Afin de renforcer les populations sur les secteurs agricoles à enjeux, nous souhaitons mettre en place des aménagements adaptés.
Notre projet comprend un diagnostic pour 240 fermes accompagnées permettant d'identifier et de hiérarchiser les enjeux et les aménagements à mettre en œuvre. Nous accompagnerons ensuite les fermes, dans l'implantation de bosquets, haies, mares, aménagements en pierres, gites à chiroptères, semis de messicoles, ... 
Notre projet s'appuiera sur notre réseau (associatif et partenarial) et contribuera à l'information et la sensibilisation à la préservation de ces espèces.",319918.20,18137595,2104645399,,,SN Biodiversité,Auvergne-Rhône-Alpes,Rhône,69,30112510000158,LPO AUVERGNE RHONE-ALPES,Association déclarée,69014,Aveize
Construction d'une grande volière de réhabilitation pour le centre de soins de la faune sauvage de l'ENVT,"Le centre de soins de la faune sauvage de l’ENVT fait partie des rares structures en France à accueillir toutes les espèces de la faune sauvage autocthone. Son activité est donc placée au centre de la protection et de la gestion de la faune sauvage française, et sur un large secteur géographique. Il s’agit d’une structure qui participe pleinement aux enjeux de préservation de la biodiversité, en prenant en charge notamment de nombreuses espèces protégées ou faisant l’objet d’un PNA. 

Actuellement, le centre de soins reçoit plus de 3500 animaux par an, avec un pic d’activité à plus de 200 animaux hébergés simultanément au moins de juin. Or, actuellement, le centre de soin dispose d’une capacité d’accueil en volières équivalente à environ 60 animaux. Nous souhaiterions donc augmenter fortement cette capacité en construisant 3 grandes volières supplémentaires. Le projet ici soumis correspond au financement de l’une de ces volières. 
",18091.12,18192763,2104646217,,,SN Biodiversité,Occitanie,Haute-Garonne,31,19310153200011,ECOLE NATIONALE VETERINAIRE DE TOULOUSE,Autre établissement public national d'enseignement,31555,Toulouse
"Contribution au PNA en faveur des pelouses sableuses continentales : localiser, identifier et améliorer la connaissance des sites favorables en vue d’actions de conservation","Les pelouses sablonneuses continentales sont des milieux très patrimoniaux. Un plan national d’actions a récemment été élaboré afin de faire face aux multiples menaces qui pèsent sur ces habitats. Gentiana prend part à certaines des actions du PNA aux côtés des différents partenaires impliqués.
Le projet présent s’articule en trois actions. La première porte sur le développement d’un outil cartographique sur le territoire du PNA prédisant les sites potentiellement favorables pour les pelouses sableuses. Cet outil permet d’orienter les prospections de l’ensemble des partenaires afin d’identifier de nouveaux sites à préserver. La seconde action consiste à réaliser une expertise de terrain pour localiser les sites et améliorer la connaissance en matière de phytosociologie. Enfin, le troisième volet du travail est une contribution à la priorisation des enjeux et des sites à la lumière des connaissances acquises.",39680.00,18268941,2104660517,,,SN Biodiversité,Auvergne-Rhône-Alpes,Isère,38,40819272200028,GENTIANA SOCIETE BOTANIQUE DAUPHINOISE DOMINIQUE VILLARS,Association déclarée,38298,Le Péage-de-Roussillon
Maison de la Nature Bassée-Montois - Phase 2,"Le projet de la Maison de la Nature consiste à réhabiliter une ancienne longère sur la commune de Jaulnes afin de promouvoir l’environnement et la biodiversité locale, d'éduquer à sa préservation et de mettre en valeur la Réserve Naturelle Nationale de la Bassée. Le bâtiment accueillera à titre gracieux l’Association de Gestion de la Réserve Naturelle de la Bassée (AGRENEBA) car elle occupe actuellement des locaux exiguës ne répondant plus aux normes incendies, et qui ne permettent pas d'accueillir convenablement du public. Cet espace permettra donc d’accueillir l’AGRENABA et proposera un lieu adapté à l’accueil du public, notamment des jeunes enfants afin de les sensibiliser à la biodiversité mais aussi de développer l’éco-tourisme sur le territoire. Dans l'état actuel et avec un projet d'extension de la réserve, il est essentiel de mettre à disposition un équipement répondant au besoin d'animation et de recherche scientifique sur le territoire.",175000.00,18285244,2104856784,,,SN Biodiversité,Île-de-France,Seine-et-Marne,77,20004025100023,"""BASSEE-MONTOIS""",Communauté de communes,77236,Jaulnes
Décideurs et gestionnaire de l'Arc Alpin : Quels indicateurs et protocoles pour renforcer les synergies et coopération transfrontalières et nationale pour une vue d’ensemble de la biodiversité transalpine ,"Les Alpes sont un hotspot de la biodiversité mondiale menacé par les changements climatiques et d'utilisation des terres. Cependant, un manque de coordination des politiques transalpines réduit l'efficacité des efforts de conservation actuels et futurs.
Le principal défi de ce projet réside dans la diversité des programmes de surveillance (monitoring) de la biodiversité mis en œuvre par les autorités alpines à différents niveaux, ce qui rend difficile l'obtention d'une vue d'ensemble complète de la situation transalpine.
Cette vue d'ensemble est essentielle pour établir des priorités ou des politiques et des mesures communes en matière de conservation.

Les indicateurs écologiques sont des outils essentiels pour identifier les zones prioritaires pour les efforts de restauration ou de conservation et pour guider les décideurs politiques ou les gestionnaires d’espaces protégés dans leurs processus de prise de décision. 
",141068.00,18319933,2104667558,,,SN Biodiversité,Auvergne-Rhône-Alpes,Haute-Savoie,74,32635617700179,ASTERS CONSERVATOIRE D'ESPACES NATURELS DE HAUTE-SAVOIE,Association déclarée,74010,Annecy
Contribution à la préservation et renforcements des populations de plantes messicoles – dans le cadre du Plan régional d’actions Auvergne Rhône-Alpes,"Les plantes messicoles ou ""plantes des moissons"" constituent un cortège floristique patrimonial et menacé. Ainsi, elles font l'objet d'un plan régional d'actions (PRA) en Auvergne Rhône-Alpes. Plusieurs structures travaillent à sa mise en œuvre.
Gentiana travaille depuis plusieurs années sur la préservation de ces espèces. Dans la continuité, nous souhaitons nous impliquer sur deux actions spécifiques du PRA. La première consiste à renforcer et préserver les populations de messicoles en contexte agricole (recherche d'agriculteurs volontaires, adaptation des pratiques, semis de réintroduction...). La seconde porte sur l'évaluation des actions afin d'améliorer les opérations de réintroduction (création d'un protocole de suivi commun, réalisation des suivis...).
Ces actions sont réalisées de façon complémentaire, dans une démarche concertée avec les partenaires du PRA (CBNA, CBNMC, CEN...) dont certains sollicitent également des financements ""Fond Vert"".",40920.00,18356111,2104660518,,,SN Biodiversité,Auvergne-Rhône-Alpes,Isère,38,40819272200028,GENTIANA SOCIETE BOTANIQUE DAUPHINOISE DOMINIQUE VILLARS,Association déclarée,38113,Clelles
Lutte contre une espèce végétale exotique envahissante sur l'île de Mezu Mare : carpobrotus edulis,"Le Syndicat mixte, gestionnaire du Grand Site des Iles Sanguinaires-pointe de la Parata mène des actions de préservation et de gestion sur ce site naturel fragile depuis 2016.
Doté de nombreuses mesures de protection, ce Grand Site de France a engagé depuis sa première labellisation un travail de terrain visant à lutter contre les espèces végétales exotiques envahissantes.
Une première opération de grande envergure a pu être menée dans le cadre de l'opération ""coup de poing"" visant à lutter contre les EEE en 2022-2023 sur la partie terrestre de la pointe de la Parata.
Le syndicat souhaite poursuivre cette dynamique, qui porte ses fruits, en engageant une opération d'arrachage manuel des Carpobrotus edulis sur l'île principal de l'archipel des Iles Sanguinaires. Cette action contribuera à la préservation de la biodiversité de l’île de Mezu Mare et contribuera à la réussite de l’éradication du rat noir prévue à partir de fin août 2025.
",96572.00,18602070,,239362,Agence de l'eau,SN Biodiversité,Corse,Corse-du-Sud,2A,20006136400010,SYNDICAT MIXTE DU GRAND SITE DES ILES SANGUINAIRES ET DE LA POINTE DE LA PARATA,Syndicat mixte ouvert,2A004,Ajaccio
ÉTUDE PRÉALABLE À L’ÉLABORATION D’UN PLAN DE GESTION DE L’ARRÊTÉ PREFECTORAL DE PROTECTION DE BIOTOPE DE LA NARSE DE LASCOLS (15),"La narse de Lascols ( Cantal, 15) fait l'objet d'un Arrêté Préfectoral de Protection de Biotope (APPB) visant au maintien de la zone humide. Un premier plan de gestion a été mis en œuvre (2016-2020) permettant une première approche de la gestion du site et la mise en œuvre de travaux et d’études permettant de restaurer certaines fonctionnalités de la zone humide.
Aussi, il semble nécessaire de poursuivre ces effort et de viser une gestion plus durable et donc la réalisation d'un nouveau plan de gestion permettant de résoudre les impacts sur la zone humide à la source. Ce projet permettrait donc la mise en place d'études préalable (hydrologie, hydrogéologie et naturaliste) à la rédaction ainsi que la mise en œuvre d'un second plan de gestion concerté sur ce site.",20904.00,18637473,2104672412,,,SN Biodiversité,Auvergne-Rhône-Alpes,Cantal,15,20006666000016,SAINT-FLOUR COMMUNAUTE,Communauté de communes,15059,Cussac
Elaboration d’un plan d’actions des  Battures de Malmanoury,"Les Battures de Malmanoury situées entre les embouchures des Criques Malmanoury et Karouabo se composent d’un ensemble de rochers et d’îlots granitiques de très faibles superficies au cœur de la zone de balancement des marées. Seuls cinq îlots émergent suffisamment pour posséder une végétation herbacée clairsemée.
Les substrats rocheux des battures représentent de véritables nurseries pour de nombreuses espèces aquatiques et un intérêt ornithologique majeur en offrant des zones de nidification, de repos et d’alimentation pour de nombreuses espèces. Le projet vise donc à réaliser un plan d’action
(après réalisation de suivis de la reproduction des oiseaux marins).  Celui-ci comprendra des propositions d’actions de gestion, une réflexion sur les moyens réglementaires de protection et d'éventuels suivis complémentaires à mettre en place.",57000.00,18862830,2104891005,,,SN Biodiversité,Guyane,Guyane,973,39171118100043,GROUPE ETUDE PROTECTION OISEAUX GUYANE,Association déclarée,97304,Kourou
Atlas de la Biodiversité Communale,"L’Atlas de la Biodiversité Communale est un des outils pour connaître, préserver et valoriser son patrimoine naturel. Ainsi, Vitré souhaite poursuivre une dynamique enclenchée en 2010, en faveur de la préservation de la biodiversité en s'engageant dans un projet collaboratif.
L'ABC de Vitré a pour but de mettre en place des actions de sensibilisation, de mobiliser le plus grand nombre d’acteur sur le sujet, et de prendre en compte cette donnée lors de l’élaboration de nouveaux projets d’aménagement et de valorisation du territoire .
Cette connaissance, ensuite intégrée aux documents d’urbanisme, permettra une meilleure anticipation dans les projets communaux et pour l’évolution de la trame verte et bleue à l’échelle communale. 
Une meilleure connaissance de la biodiversité du plus grand nombre facilitera la mise en œuvre d’actions de protection et de reconquête de la biodiversité.
Connaître ce qui nous entoure nous permet de mieux le préserver.

",114600.00,18881892,,,,SN Biodiversité,Bretagne,Ille-et-Vilaine,35,21350360000016,COMMUNE DE VITRE,Commune et commune nouvelle,35360,Vitré
Un toit pour la biodiversité 3,"Le programme « Un toit pour la biodiversité » vise à engager les propriétaires de bâtiments de la région Centre-Val de Loire sur l’opportunité de reconquête de la biodiversité qu’offre la rénovation énergétique du bâti par l’extérieur. Aujourd’hui, certaines opérations de rénovation énergétique ont un impact négatif sur la faune abritée dans les bâtiments. Le réseau FNE régional s’appuiera sur les démonstrations de retour d’expériences pour faire comprendre aux propriétaires de bâtiments qu’il est nécessaire d’inclure dans chaque étude technique et budgétaire d’un projet, un volet d’analyse faunistique. Notre objectif correspond à celui du plan régional d’action « Prendre en compte les Chiroptères dans les aménagements et les politiques publiques ». Il s’inscrit dans l’action 5 Protéger les gites dans les bâtiments et relève d’une priorité 1.",135135.00,18931871,2104674949,,,SN Biodiversité,Centre-Val de Loire,Loiret,45,32218896200060,FRANCE NATURE ENVIRONNEMENT CENTRE-VAL DE LOIRE,Association déclarée,45234,Orléans
OBJECTIF MARES 3,"Le projet présenté est un renouvellement d’Objectif MARES afin de pouvoir lancer de nouvelles vagues de restauration, de suivre la gestion des mares restaurées dans le temps, de poursuivre la saisie en ligne qui alimente la construction cartographique du réseau de mares adossé et le pilotage régional entre acteurs de la restauration des mares. Le projet ambitionne donc de poursuivre les démarches visant à rétablir la continuité des fonctionnalités écologiques de la trame mare régionale en portant des opérations d’inventaires, de restaurations, de créations et de suivis concertés entre acteurs territoriaux du local au régional. ",250105.50,18931880,2104674948,,,SN Biodiversité,Centre-Val de Loire,Loiret,45,32218896200060,FRANCE NATURE ENVIRONNEMENT CENTRE-VAL DE LOIRE,Association déclarée,45234,Orléans
Espace Naturel Sensible – Montagne de Chamouse et forêt de la Tussie - Elaboration du plan de gestion ,"L’opération consiste à élaborer le plan de gestion de l’ENS Montagne de Chamouse – Forêt de la Tussie, prioritairement sur les parcelles sous maîtrise foncière publique. Le secteur d’étude couvre près de 500 Ha.
A l’instar des recommandations de l’OFB sur l’élaboration de plan de gestion d’espaces naturels, le processus se déroulera en quatre étapes :
Étape 1 : réalisation d’un diagnostic et identification des enjeux
Étape 2 : élaboration d’une stratégie partagée avec les acteurs concernés des deux secteurs
Étapes 3 et 4 : élaboration du plan d’action et du dispositif de suivi-évaluation de la stratégie et du programme d’actions

La cinquième étape (suivi-évaluation de la stratégie et du programme d’actions) relève ensuite du processus d’animation du site, qui n’est pas intégré à la présente opération.
",15706.00,18937841,2104672361,,,SN Biodiversité,Auvergne-Rhône-Alpes,Drôme,26,20005936800031,SYNDICAT MIXTE DU PARC NATUREL REGIONAL DES BARONNIES PROVENCALES,Syndicat mixte ouvert,26189,Montauban-sur-l'Ouvèze
"Projet PAS Noisettes : La zone portuaire de Strasbourg est entourée d’espaces remarquables dont la forêt de la Robertsau au Nord. Afin de maintenir ou recréer les connexions entre les espaces remarquables et les espaces verts de son domaine, conformément aux objectifs définis dans sa stratégie biodiversité, le Port autonome de Strasbourg (PAS) en partenariat avec l'Eurométropole de Strasbourg souhaitent expérimenter un aménagement en faveur du déplacement des écureuils.","Projet réalisé en partenariat avec le Port Autonome de Strasbourg (18966960) : il est complémentaire et indissociable.
Projet retenu lors de la phase 1 de l'AAP TVB 2024.

Le projet consiste à poser un poteau en bois, puis une corde élastique de 10 à 12 mètres entre un chêne pédonculé identifié dans la Réserve Naturelle Nationale de la Robertsau et le poteau, afin de constituer un pont aérien permettant aux écureuils de traverser la route en toute sécurité, sans descendre au sol et d’éviter ainsi les écrasements. Afin d’évaluer le dispositif, un suivi est prévu sur 3 années avec piège photographique : des analyses mensuelles, avec passage sur place pour recherche d’indices de présence d’écureuils et exploitation des photos du piège, seront réalisées.",12720.00,18966852,2104775688,,,SN Biodiversité,Grand Est,Bas-Rhin,67,24670048800017,EUROMETROPOLE DE STRASBOURG,Métropole,67482,Strasbourg
"Projet PAS Noisettes : La zone portuaire de Strasbourg est entourée d’espaces remarquables dont la forêt de la Robertsau au Nord.  Afin de maintenir ou recréer les connexions entre les espaces remarquables et les espaces verts de son domaine, conformément aux objectifs définis dans sa stratégie biodiversité, le Port autonome de Strasbourg (PAS) en partenariat avec l'Eurométropole de Strasbourg souhaitent expérimenter un aménagement en faveur du déplacement des écureuils. ","Projet réalisé en partenariat avec l'Eurométropole de Strasbourg (18966852) : il est complémentaire et indissociable. 
Projet retenu lors de la phase 1 de l'AAP TVB 2024

Le projet consiste à poser un poteau en bois, puis une corde élastique de 10 à 12 mètres entre un chêne pédonculé identifié dans la Réserve Naturelle Nationale de la Robertsau et le poteau, afin de constituer un pont aérien permettant aux écureuils de traverser la route en toute sécurité, sans descendre au sol et d’éviter ainsi les écrasements. Afin d’évaluer le dispositif, un suivi est prévu sur 3 années avec piège photographique : des analyses mensuelles, avec passage sur place pour recherche d’indices de présence d’écureuils et exploitation des photos du piège, seront réalisées.    ",14800.00,18966960,2104777055,,,SN Biodiversité,Grand Est,Bas-Rhin,67,77564141800014,PORT AUTONOME DE STRASBOURG,Établissement public national à caractère administratif,67482,Strasbourg
Réalisation d'un Atlas de la Biodiversité Communale,"La Ville de Bourg-la-Reine dispose d'une première partie de l'Atlas de la Biodiversité Communale, réalisée en 2023 avec le soutien de la Métropole du Grand Paris via l'AMI ""Inventaires écologiques métropolitains"".
En 2025, la collectivité souhaite compléter les inventaires initiés en y intégrant des observations sur l'ensemble des saisons.
L'Atlas sera accompagné d'un plan biodiversité composé de fiches actions à mettre en œuvre.
Les habitants avaient manifesté un grand intérêt pour les premiers inventaires. Poursuivre ce projet constitue donc un enjeu majeur pour sensibiliser le grand public à la biodiversité urbaine.",60893.00,19038218,,,,SN Biodiversité,Île-de-France,Hauts-de-Seine,92,21920014400018,COMMUNE DE BOURG LA REINE,Commune et commune nouvelle,92014,Bourg-la-Reine
Restauration des habitats naturels et de leurs fonctionnalités à travers l’éviction des infrastructures d’un gabion de chasse à proximité directe de la RNR Marais de la Vacherie,"L’association LPO a acquis un domaine de chasse en 2023 (chasse au gibier d’eau) en bordure immédiate de la Réserve Naturelle Régionale (RNR) Marais de la Vacherie, et inclus dans le périmètre d’extension de la réserve. Le site a été déstructuré et aménagé dans le début des années 90 pour l’activité de loisir cynégétique nocturne et diurne.
Le projet doit permettre de restaurer des habitats naturels originels et les fonctionnalités écologiques associées à travers :
-	Eviction des infrastructures et déchets (gabions, garage, poste de tir, tôles, pieux, matériels et infrastructures de camouflage, système de pompage, buttes artificielles, ferrailles, moquettes plastiques, etc.) ;
-	Restauration de la topographie avec reprofilage du plan d’eau (paléo-chenal originel) ;
-	Restauration du fossé central originel ;
-	Aménagement pour une gestion hydraulique favorable aux habitats et espèces ;
-	Aménagement pour une gestion pastorale extensive.",92585.00,19040669,2104773193,,,SN Biodiversité,Pays de la Loire,Vendée,85,78426328700103,LIGUE FRANCAISE PROTECTION OISEAUX,Association déclarée,85049,Champagné-les-Marais
Amélioration de la connaissance et de la prise en compte des Chiroptères en forêts privées d'Ile-de-France ,"Dans la poursuite du premier volet (2023-2024) d'une action du Plan Régional d'Actions Ile-de-France pour les Chiroptères, le CNPF souhaite poursuivre les travaux de connaissance et d'amélioration de la prise en compte de ses espèces dans les forêts privées de l'Est Ile-de-France. Dans le cadre d'une analyse effectuée entre les partenaires locaux (ONF, CPIE, AZIMUT 230, Biotope) des sites à enjeux ont été identifiés et il est nécessaire de mettre en place une animation particulière pour entrainer et accompagner les propriétaires forestiers privés dans la démarche. ",22307.00,19048395,2104872545,,,SN Biodiversité,Île-de-France,Seine-et-Marne,77,18009235500478,CNPF SERVICES GENERAUX,Établissement public national à caractère administratif,77229,La Houssaye-en-Brie
"Gestion conservatoire des habitats pour le Râle des genêts, le Phragmite aquatique et le cortège de l’avifaune prairiale sur un secteur à fort enjeu du site des Basses Vallées Angevines","Depuis plusieurs années, la LPO Anjou avec l’appui de la LPO France œuvrent à la conservation de ces espèces en s’appuyant sur un réseau de plus de 430 ha de prairies en propriété, dont la majorité est exploitée via des baux environnementaux.
Face à l’évolution des pratiques agricoles, aux cessations d’activité et à la fragilité des équilibres écologiques, la LPO souhaite porter un projet ambitieux de restauration écologique, d’expérimentation de pratiques conservatoires, et de concertation territoriale pour répondre aux enjeux de conservation les plus urgents.
Objectif général :
Améliorer, restaurer et sécuriser les habitats prairiaux à haute valeur écologique dans les BVA pour assurer la viabilité à long terme des populations de Râle des genêts et de Phragmite aquatique.

",25694.00,19100641,2104825049,,,SN Biodiversité,Pays de la Loire,Maine-et-Loire,49,39065122200049,LIGUE POUR LA PROTECTION DES OISEAUX,Association déclarée,49055,Cantenay-Épinard
Consolidation des laboratoires à ciel ouvert : acquisition de données bio-climatiques,"Renforcer le réseau de stations météo dans les RNC,afin de mieux comprendre les dynamiques climatiques locales et leurs impacts sur la biodiversité. Depuis 20 ans,la FRNC a commencé à installer des stations,mais la couverture géographique est insuffisante.L’objectif est d’obtenir des données précises pour adapter les stratégies de gestion,notamment pour préserver des espèces sensibles comme le desman et le calotriton.Le projet s'inscrit également dans la gestion de la ressource en eau et en soutien à la recherche scientifique.Les actions incluent l’acquisition de nouvelles stations, le renouvellement des équipements vieillissants et la collaboration avec des acteurs locaux.Des actions de sensibilisation seront déployées pour informer le public sur l'importance de ces données dans la gestion des RN.Les objectifs sont une meilleure connaissance des impacts climatiques,l’adaptation des pratiques de gestion et un soutien renforcé à la recherche scientifique.",99101.86,19150267,2104770015,,,SN Biodiversité,Occitanie,Pyrénées-Orientales,66,39092382900043,FEDERATION DES RESERVES NATURELLES CATALANES,Association déclarée,66149,Prades
Mission de lancement d’un centre de soin faune sauvage en Ille-et-Vilaine,"L’étude sur la faune sauvage en détresse bretonne, financée par la Région en 2020/2021 et pilotée par la LPO
Bretagne, a mis en évidence les zones blanches existantes en termes de centres de soin, à commencer par l’Ille-et-
Vilaine où la situation est chaque année de plus en plus compliquée, au regard notamment de la densité
d’activités humaines sur le bassin rennais. Sensible à cette cause, et après différents échanges avec la LPO Bretagne, la collectivité de Montfort Communauté envisage aujourd’hui de créer une telle structure sur son territoire, soit un projet visant dans un premier temps à accueillir environ 1 000 animaux par an, différentes espèces confondues. En parallèle, il s’agit donc de travailler aussi sur une mission de lancement qui permettra à ce futur centre de soin généraliste d’assoir son activité durablement, une fois installé son territoire.",300000.00,19164150,2104769700,,,SN Biodiversité,Bretagne,Ille-et-Vilaine,35,52956213400013,LPO BRETAGNE,Association déclarée,35238,Rennes
Paysans de Nature Bretagne (Année 2025),"Paysans de Nature Bretagne génère un réseau de fermes engagées et actives pour la restauration des milieux naturels en cohérence avec les trames vertes et bleues afin de favoriser les continuités écologiques et la biodiversité avec des spécificités dans chaque ferme comme dans chaque territoire. Pour ce faire, les groupes de fermes présentes sur un territoire resserré (EPCI, Bassin Versant...) sont animées par une structure naturaliste et/ou une structure agricole et mettent en relation paysans, naturalistes et citoyens. Ceux-ci échangent sur comment la ferme s’inscrit dans son écosystème et comment favoriser la biodiversité et la restauration des continuités écologiques sur ces espaces agricoles notamment à travers les trames vertes et bleues. Ensuite, ces échanges donnent lieu à des travaux concrets de restauration et de gestion agricole des espaces naturels. Il s’agira donc d’un réseau technique, d’un réseau écologique et d’un réseau social.
",200000.00,19176554,,,,SN Biodiversité,Bretagne,Finistère,29,77750963900061,BRETAGNE VIVANTE SEPNB,Association déclarée,29019,Brest
Plan de protection de la posidonie pour favoriser la biodiversité,"La Ville de Marseille s’est dotée d’un Plan Posidonie qui vise à renforcer l’action de la Ville de Marseille pour la préservation de son patrimoine marin et à mobiliser des leviers pour le restaurer.
Les objectifs du Plan Posidonie sont de :

•	Étudier et protéger cette plante marine aux multiples atouts et services rendus ;
•	Définir et expérimenter des solutions fondées sur la nature pour la restauration de l’herbier ;
•	Communiquer et sensibiliser les Marseillaises et Marseillais ainsi que les visiteurs à l’importance écologique et patrimoniale des herbiers marins ;
•	Sensibiliser et former les citoyens de demain aux enjeux environnementaux.
",192611.70,19389497,2104759437,,,SN Biodiversité,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13,21130055300016,COMMUNE DE MARSEILLE,Commune et commune nouvelle,13055,Marseille 2e Arrondissement
L’ATLAS DE LA BIODIVERSITÉ COMMUNALE DE SUCY-EN-BRIE,"Depuis 2022, la ville de Sucy-en-Brie a mis en place des inventaires faune, flore et patrimoine arboré. Ils concernent différents taxons dont : les oiseaux, les papillons, les amphibiens, ainsi que des diagnostics sur les différents espaces naturels de la ville. Leur objectif est de connaitre l'ensemble du patrimoine naturel de la commune, afin de mieux les préserver. 

Le projet sera mené de manière globale en partenariat avec des professionnels de l’écologie pour être à la fois un outil scientifique et populaire, construit selon deux axes :
1) Compiler des données naturalistes (INPN et ville) pour créer une base de données exhaustive, identifier les taxons peu représentés et mettre en place des protocoles spécifiques pour compléter les inventaires déjà réalisés.
2) Sensibiliser tous les publics par des évènements dédiés, par la réalisation d’une cartographie des habitats écologiques, et par la création d’un livret « Atlas de la Biodiversité ».",47360.00,19396724,,,,SN Biodiversité,Île-de-France,Val-de-Marne,94,21940071000014,COMMUNE DE SUCY EN BRIE,Commune et commune nouvelle,94071,Sucy-en-Brie
Sentier de découverte de la tourbière de Morcourt,"Le projet consiste à aménager la tourbière de Morcourt pour sensibiliser le public à la préservation des écosystèmes tourbeux en proposant un sentier d’interprétation du patrimoine naturel, paysager, historique et culturel du site.
Le projet comprend deux boucles piétonnes, de 2,6 et 3,4 kilomètres, reliées à la Véloroute « Vallée de Somme » et au village de Morcourt.
Le projet comprend plusieurs aménagements pour d’une part permettre la circulation dans la tourbière (passage surélevé, débroussaillage, passerelle, renforcement de chemin), et d’autre part pour renforcer son attrait et son potentiel de sensibilisation (panneau d’interprétation, belvédère, racks à vélo, bancs panneaux, éco-compteur etc.)
Le choix des aménagements tient compte des objectifs de préserver le caractère sauvage du site et de réduire les coûts d’investissement et d’entretien.
",216124.00,19446066,,41672,Agence de l'eau,SN Biodiversité,Hauts-de-France,Somme,80,40320217900087,CONSERVATOIRE D ESPACES NATURELS DES HAUTS DE FRANCE,Association déclarée,80569,Morcourt
Plan de gestion de la Réserve Naturelle Nationale des Forêts de Mayotte,"La Réserve Naturelle Nationale des forêts de Mayotte (RNN FM) a été créée par le décret ministériel n°2021-545 du 3 
mai 2021 afin de renforcer la protection des îlots de forêts naturelles particulièrement riches en espèces indigènes et 
fortement menacées par les pressions anthropiques. 
La RNN FM couvre 2 801 ha de forêts publiques relevant du régime forestier - 2059 ha en forêts départementales et 
742 ha en forêts domaniales - réparties sur 6 massifs difficile d’accès, autour des monts et crêtes de Grande Terre
(carte en annexe). Cette réserve représente 51% des forêts domaniales et départementales et 7,5% de la superficie 
de l’île. Cette mission a été confiée au GIP en juin 2023.
La première phase de mise en place du gestionnaire de la RNN est consacrée à l’établissement des moyens humains 
et matériels du GIP et à l’élaboration du premier plan de gestion de la RNN. ",65200.00,19482064,2104624131,,,SN Biodiversité,Mayotte,Mayotte,976,13003094300018,RESERVE NATURELLE NATIONALE DES FORETS DE MAYOTTE,Groupement d'intérêt public (GIP),97611,Mamoudzou
Déclinaison du CBN Massif central du PRA Messicoles,"Les plantes messicoles et les plantes inféodées aux vignes et vergers font l’objet d’un Plan national d’actions, décliné en Auvergne-Rhône-Alpes en 2022. Le plan régional d’actions (PRA) vise 89 taxons dont certains représentent un enjeu de conservation très important et prévoit la mise en œuvre d’actions de préservation de ces taxons. Le présent projet, multi-partenarial, permettra de mettre en place plusieurs de ces actions.",51472.00,19492922,2104662092,,,SN Biodiversité,Auvergne-Rhône-Alpes,Puy-de-Dôme,63,25430117900027,SYNDICAT MIXTE DU CONSERVATOIRE BOTANIQUE DU MASSIF CENTRAL,Syndicat mixte ouvert,43067,Chavaniac-Lafayette
Diagnostic de la franchissabilité des ouvrages de SNCF Réseau et suivi par pièges photographiques sur la région AURA ,"Ce projet s'inscrit dans les ambitions régionales de préservation des continuités écologiques terrestres d'importance régionale. SNCF Réseau, gestionnaire d'infrastructures de transport, souhaite concrétiser ses engagements, qui sont ""d'augmenter la transparence écologique du réseau ferroviaire en restaurant les principales continuités écologiques terrestres et en mettant en œuvre des mesures d'atténuation du risque de collision avec la faune sauvage"". Pour cela, SNCF RESEAU a réalisé un diagnostic de la franchissabilité de son réseau, sur des zones traversées par des corridors linéaires d'importance régionale et à proximité de réservoirs de biodiversité. Cette évaluation de la franchissabilité sera complétée par des suivis photographiques permettant d'affiner les préconisations d'aménagements afin de rétablir les corridors écologiques pour le déplacement des espèces de la petite à la grande faune.",12200.00,19506045,2104817468,,,SN Biodiversité,Auvergne-Rhône-Alpes,Ardèche,07,41228073720375,SNCF RESEAU,SA à conseil d'administration (s.a.i.),69123,Lyon 3e Arrondissement
