nom;structure_porteuse;communes;annee_debut;statut_a_verifier;motif;requete_recherche
ABC du Syndicat mixte  Baie de Somme 3 Vallées;Baie de somme 3 Vallées;Arry, Bernay-en-Ponthieu, Brailly-Cornehotte, Crécy-en-Ponthieu, Le Crotoy, Estrées-lès-Crécy, Favières, Fontaine-sur-Maye, Forest-Montiers, Froyelles, Machiel, Machy, Regnière-Écluse, Rue, Saint-Quentin-en-Tourmont;2021;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Baie de somme 3 Vallées" Arry
ABC en Pays du Mans;Pays du Mans;Ballon-Saint Mars, La Bazoge, Cures, Laigné-Saint-Gervais, Saint-Ouen-en-Belin, Savigné-l'Évêque, Teloché, Val-de-la-Hune;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "Pays du Mans" Ballon-Saint Mars
ABC le Vésinet;Le Vésinet;Le Vésinet;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Le Vésinet" Le Vésinet
ABC sur six communes de la CCPHG : Malvezie, Frontignan de Comminges, Saint-Pé-d’Ardet;CC Pyrénées Haut Garonnaises;Frontignan-de-Comminges, Malvezie, Saint-Pé-d'Ardet;2024;Va débuter;« va débuter » depuis 2024 → potentiellement en cours;"atlas de la biodiversité communale" "CC Pyrénées Haut Garonnaises" Frontignan-de-Comminges
ABI de la CA Grand Belfort;CA Grand Belfort;Andelnans, Argiésans, Banvillars, Bavilliers, Belfort, Bermont, Botans, Buc, Châtenois-les-Forges, Cravanche, Danjoutin, Denney, Dorans, Éloie, Essert, Évette-Salbert, Offemont, Pérouse, Roppe, Sermamagny, Sevenans, Trévenans, Urcerey, Valdoie, Vétrigne;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "CA Grand Belfort" Andelnans
Atlas de la Biodiversité Communale pour les communes de Drefféac, Sévérac, Saint-Gildas-des-Bois, Sainte Anne sur Brivet et Guenrouët;;Drefféac, Guenrouet, Sainte-Anne-sur-Brivet, Saint-Gildas-des-Bois, Sévérac;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Atlas de la Biodiversité Communale pour les communes de Drefféac, Sévérac, Saint-Gildas-des-Bois, Sainte Anne sur Brivet et Guenrouët" Drefféac
Atlas de la Biodiversité communale de l'Ernée;;Andouillé, La Baconnière, La Bigottière, Chailland, La Croixille, Ernée, Juvigné, Larchamp, Montenay, La Pellerine, Saint-Denis-de-Gastines, Saint-Germain-le-Guillaume, Saint-Hilaire-du-Maine, Saint-Pierre-des-Landes, Vautorte;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Atlas de la Biodiversité communale de l'Ernée" Andouillé
Atlas de la biodiversité communale Seine et Caux;Boucles De La Seine Normande;Allouville-Bellefosse, Anquetierville, Auzebosc, Bois-Himont, Rives-en-Seine, Louvetot, Maulévrier-Sainte-Gertrude, Norville, Saint-Arnoult, Saint-Aubin-de-Crétot, Saint-Clair-sur-les-Monts, Saint-Gilles-de-Crétot, Saint-Maurice-d'Ételan, Saint-Nicolas-de-la-Haie, Touffreville-la-Corbeline, Yvetot;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Boucles De La Seine Normande" Allouville-Bellefosse
Atlas de la biodiversité communale de Bénouville;Bénouville;Bénouville;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Bénouville" Bénouville
Atlas de la biodiversité communale de Fontevraud-l’Abbaye et Montsoreau;Loire-Anjou-Touraine;Fontevraud-l'Abbaye, Montsoreau;2022;Va débuter;statut figé à 2022 (archives);"atlas de la biodiversité communale" "Loire-Anjou-Touraine" Fontevraud-l'Abbaye
Atlas de la biodiversité communale de Gommerville;Gommerville;Gommerville;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Gommerville" Gommerville
Atlas de la biodiversité communale de Villers-Bocage;Villers-Bocage;Villers-Bocage;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Villers-Bocage" Villers-Bocage
Atlas de la biodiversité communale de la Poterie-Cap-d 'Antifer;La Poterie-Cap-d'Antifer;La Poterie-Cap-d'Antifer;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "La Poterie-Cap-d'Antifer" La Poterie-Cap-d'Antifer
Atlas de la biodiversité communale des Sources de l'Orne;Normandie-Maine;Le Bouillon, Bursard, Le Cercueil, La Chapelle-près-Sées, Essay, La Ferrière-Béchet, Francheville, Mortrée, Saint-Gervais-du-Perron, Sées;2023;Va débuter;« va débuter » depuis 2023 → potentiellement en cours;"atlas de la biodiversité communale" "Normandie-Maine" Le Bouillon
"ABC '"Haute Sarthe Alpes Mancelles'" PNR Normandie-Maine (ligérien)";Normandie-Maine;Assé-le-Boisne, Moulins-le-Carbonnel, Saint-Léonard-des-Bois, Saint-Paul-le-Gaultier, Sougé-le-Ganelon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Normandie-Maine" Assé-le-Boisne
ABC CC Picardie Verte;CC de la Picardie Verte;Formerie;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CC de la Picardie Verte" Formerie
ABC Castelnau d'Estrétefonds;Castelnau-d'Estrétefonds;Castelnau-d'Estrétefonds;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Castelnau-d'Estrétefonds" Castelnau-d'Estrétefonds
ABC Communauté agglomération Paris Vallée de la Marne;CA Paris - Vallée de la Marne;Brou-sur-Chantereine, Champs-sur-Marne, Chelles, Courtry, Croissy-Beaubourg, Émerainville, Lognes, Noisiel, Pontault-Combault, Roissy-en-Brie, Torcy, Vaires-sur-Marne;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA Paris - Vallée de la Marne" Brou-sur-Chantereine
ABC Communauté d'Agglomération Grand Angoulême;CA du Grand Angoulême;Angoulême, Asnières-sur-Nouère, Balzac, Bouëx, Brie, Champniers, Claix, La Couronne, Dignac, Dirac, Fléac, Garat, Gond-Pontouvre, L'Isle-d'Espagnac, Jauldes, Linars, Magnac-sur-Touvre, Marsac, Mornac, Mouthiers-sur-Boëme, Nersac, Plassac-Rouffiac, Puymoyen, Roullet-Saint-Estèphe, Ruelle-sur-Touvre, Saint-Michel, Saint-Saturnin, Saint-Yrieix-sur-Charente, Sers, Sireuil, Soyaux, Torsac, Touvre, Trois-Palis, Vindelle, Vœuil-et-Giget, Voulgézac, Vouzan;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "CA du Grand Angoulême" Angoulême
ABC Cros;Cros;Cros;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Cros" Cros
ABC Cugnaux;Cugnaux;Cugnaux;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Cugnaux" Cugnaux
ABC Cœur de Nacre;CC Coeur de Nacre;Colomby-Anguerny, Anisy, Basly, Bernières-sur-Mer, Courseulles-sur-Mer, Cresserons, Douvres-la-Délivrande, Langrune-sur-Mer, Luc-sur-Mer, Plumetot, Reviers, Saint-Aubin-sur-Mer;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "CC Coeur de Nacre" Colomby-Anguerny
ABC Garrigues (ComCom) - Montbazin, Poussan et Villeveyrac.;Montbazin;Montbazin, Poussan, Villeveyrac;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Montbazin" Montbazin
ABC Grabels;Grabels;Grabels;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Grabels" Grabels
ABC Intercommunal d'Orléans Métropole;Orléans Métropole;Boigny-sur-Bionne, Fleury-les-Aubrais, Mardié, Marigny-les-Usages, Saint-Cyr-en-Val;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Orléans Métropole" Boigny-sur-Bionne
ABC Intercommunal de l'agglomération de Blois - Agglopolys;CA de Blois Agglopolys;Averdon, Blois, Celettes, Candé-sur-Beuvron, Chailles, Champigny-en-Beauce, La Chapelle-Vendômoise, Chaumont-sur-Loire, La Chaussée-Saint-Victor, Cheverny, Chitenay, Valloire-sur-Cisse, Cormeray, Cour-Cheverny, Fossé, Françay, Herbault, Lancôme, Landes-le-Gaulois, Marolles, Menars, Mesland, Valencisse, Monteaux, Monthou-sur-Bièvre, Les Montils, Veuzain-sur-Loire, Rilly-sur-Loire, Saint-Bohaire, Saint-Cyr-du-Gault, Saint-Denis-sur-Loire, Saint-Étienne-des-Guérets, Saint-Gervais-la-Forêt, Saint-Lubin-en-Vergonnois, Saint-Sulpice-de-Pommeray, Sambin, Santenay, Seur, Valaire, Villebarou, Villerbon, Vineuil;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA de Blois Agglopolys" Averdon
ABC Isle-Jourdain;L'Isle-Jourdain;L'Isle-Jourdain;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "L'Isle-Jourdain" L'Isle-Jourdain
ABC Ispagnac;Ispagnac;Ispagnac;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Ispagnac" Ispagnac
ABC La Possession;La Possession;La Possession;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "La Possession" La Possession
ABC Lagraulet du Gers;Lagraulet-du-Gers;Lagraulet-du-Gers;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Lagraulet-du-Gers" Lagraulet-du-Gers
ABC Lamasquere;Lamasquère;Lamasquère;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Lamasquère" Lamasquère
ABC Le Portel;Le Portel;Le Portel;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Le Portel" Le Portel
ABC Le Tampon;Le Tampon;Le Tampon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Le Tampon" Le Tampon
ABC Mialet;Mialet;Mialet;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Mialet" Mialet
ABC Mondonville;Mondonville;Mondonville;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Mondonville" Mondonville
ABC Montpellier Méditerranée Métropole (3M);Montpellier Méditerranée Métropole;Baillargues, Beaulieu, Castelnau-le-Lez, Castries, Clapiers, Cournonsec, Cournonterral, Le Crès, Fabrègues, Jacou, Juvignac, Lattes, Lavérune, Montaud, Montferrier-sur-Lez, Montpellier, Murviel-lès-Montpellier, Pérols, Pignan, Restinclières, Saint-Brès, Saint-Drézéry, Saint-Geniès-des-Mourgues, Saint-Georges-d'Orques, Saint-Jean-de-Védas, Saussan, Sussargues, Vendargues, Villeneuve-lès-Maguelone;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Montpellier Méditerranée Métropole" Baillargues
ABC Pailhès;Pailhès;Pailhès;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Pailhès" Pailhès
ABC Parc National Pyrénées;Parc national des Pyrénées;Accous, Bescat, Etsaut, Arrens-Marsous, Beaucens, Ferrières, Guchen, Lau-Balagnas, Saligos, Tramezaïgues;2013;En cours;début 2013 → potentiellement terminé;"atlas de la biodiversité communale" "Parc national des Pyrénées" Accous
ABC Pouzols;Pouzols;Pouzols;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Pouzols" Pouzols
ABC Prades le Lez;Prades-le-Lez;Prades-le-Lez;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Prades-le-Lez" Prades-le-Lez
ABC Saint Aunès;Saint-Aunès;Saint-Aunès;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Aunès" Saint-Aunès
ABC Saint Geniez d'Olt et d'Aubrac;Saint Geniez d'Olt et d'Aubrac;Saint Geniez d'Olt et d'Aubrac;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint Geniez d'Olt et d'Aubrac" Saint Geniez d'Olt et d'Aubrac
ABC Saint Martin De Lansuscle;Saint-Martin-de-Lansuscle;Saint-Martin-de-Lansuscle;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Martin-de-Lansuscle" Saint-Martin-de-Lansuscle
ABC Saint Michel De Dèze;Saint-Michel-de-Dèze;Saint-Michel-de-Dèze;2018;En cours;début 2018 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Michel-de-Dèze" Saint-Michel-de-Dèze
ABC Saint Roman De Codières;Saint-Roman-de-Codières;Saint-Roman-de-Codières;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Roman-de-Codières" Saint-Roman-de-Codières
ABC Saint-Germain de Calberte;Saint-Germain-de-Calberte;Saint-Germain-de-Calberte;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Germain-de-Calberte" Saint-Germain-de-Calberte
ABC Saint-Leu;Saint-Leu;Saint-Leu;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Leu" Saint-Leu
ABC Saint-Martial;Saint-Martial;Saint-Martial;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Martial" Saint-Martial
ABC Saint-Rome de Cernon;Saint-Rome-de-Cernon;Saint-Rome-de-Cernon;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Saint-Rome-de-Cernon" Saint-Rome-de-Cernon
ABC Savenay;Savenay;Savenay;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Savenay" Savenay
ABC Sorbs;Sorbs;Sorbs;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Sorbs" Sorbs
ABC Sumène;Sumène;Sumène;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Sumène" Sumène
ABC Torreilles;Torreilles;Torreilles;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Torreilles" Torreilles
ABC Vailhauquès;Vailhauquès;Vailhauquès;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Vailhauquès" Vailhauquès
ABC Vialas;Vialas;Vialas;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Vialas" Vialas
ABC Villenoy;Villenoy;Villenoy;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Villenoy" Villenoy
ABC d'Alençon;Alençon;Alençon;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Alençon" Alençon
ABC d'Allaire;Allaire;Allaire;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Allaire" Allaire
ABC d'Alleins;Alleins;Alleins;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Alleins" Alleins
ABC d'Angers Loire Métropole;CU Angers Loire Métropole;Angers, Avrillé, Beaucouzé, Bouchemaine, Briollay, Cantenay-Épinard, Écuillé, Feneu, Montreuil-Juigné, Le Plessis-Grammoire, Les Ponts-de-Cé, Saint-Barthélemy-d'Anjou, Saint-Clément-de-la-Place, Sainte-Gemmes-sur-Loire, Saint-Léger-de-Linières, Saint-Martin-du-Fouilloux, Loire-Authion, Verrières-en-Anjou, Savennières, Soulaines-sur-Aubance, Trélazé, Rives-du-Loir-en-Anjou;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CU Angers Loire Métropole" Angers
ABC d'Argentan;Argentan;Argentan;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Argentan" Argentan
ABC d'Auntun;Autun;Autun;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Autun" Autun
ABC d'Epeigné-les-Bois;Épeigné-les-Bois;Épeigné-les-Bois;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Épeigné-les-Bois" Épeigné-les-Bois
ABC d'Epuisay;;Épuisay;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "d'Epuisay" Épuisay
ABC d'Erdre et Gesvres : Les Touches, Petit-Mars, Saint-Mars-du-Désert, Grandchamp-des-Fontaines, Fay-de-Bretagne;CC d'Erdre et Gesvres;Fay-de-Bretagne, Grandchamp-des-Fontaines, Petit-Mars, Saint-Mars-du-Désert, Les Touches;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CC d'Erdre et Gesvres" Fay-de-Bretagne
ABC d'Etaples-Sur-Mer;Étaples;Étaples;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Étaples" Étaples
ABC d'Etsaut ;Etsaut;Etsaut;2017;En cours;début 2017 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Etsaut" Etsaut
ABC d'Occoches;Occoches;Occoches;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Occoches" Occoches
ABC d'Orly;;Orly;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "d'Orly" Orly
ABC d'Orléans Métropole;Orléans Métropole;Boigny-sur-Bionne, Fleury-les-Aubrais, Mardié, Marigny-les-Usages, Saint-Cyr-en-Val;2018;En cours;début 2018 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole" Boigny-sur-Bionne
ABC d'Osny;Osny;Osny;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Osny" Osny
ABC d'Oudon;Oudon;Oudon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Oudon" Oudon
ABC d'Outrebois;Outrebois;Outrebois;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Outrebois" Outrebois
ABC de 3 communes du PNR Oise Pays de France;Oise-Pays De France;Auger-Saint-Vincent, Plailly, Saint-Vaast-de-Longmont;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Oise-Pays De France" Auger-Saint-Vincent
ABC de Aillant-sur-Milleron;Aillant-sur-Milleron;Aillant-sur-Milleron;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Aillant-sur-Milleron" Aillant-sur-Milleron
ABC de Ardon;Ardon;Ardon;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Ardon" Ardon
ABC de Aubigny-sur-Nère;Aubigny-sur-Nère;Aubigny-sur-Nère;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Aubigny-sur-Nère" Aubigny-sur-Nère
ABC de Barly;Barly;Barly;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Barly" Barly
ABC de Bazancourt;Bazancourt;Bazancourt;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Bazancourt" Bazancourt
ABC de Bou;Orléans Métropole Bou;Bou;2022;En cours;début 2022 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole Bou" Bou
ABC de Brouchaud;Syndicat Mixte du Bassin de l'Isle;Brouchaud;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Syndicat Mixte du Bassin de l'Isle" Brouchaud
ABC de Brétigny-sur-Orge;Brétigny-sur-Orge;Brétigny-sur-Orge;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Brétigny-sur-Orge" Brétigny-sur-Orge
ABC de CA Saint-Brieuc Armor Agglomération;CA Saint-Brieuc Armor Agglomération;Le Bodéo, Binic-Étables-sur-Mer, Le Fœil, La Harmoye, Hillion, Lanfains, Langueux, Lantic, Le Leslay, La Méaugon, Plaine-Haute, Plaintel, Plédran, Plérin, Plœuc-L'Hermitage, Ploufragan, Plourhan, Pordic, Quintin, Saint-Bihy, Saint-Brandan, Saint-Brieuc, Saint-Carreuc, Saint-Donan, Saint-Gildas, Saint-Julien, Saint-Quay-Portrieux, Trégueux, Trémuson, Tréveneuc, Le Vieux-Bourg, Yffiniac;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "CA Saint-Brieuc Armor Agglomération" Le Bodéo
ABC de Cabriès;Cabriès;Cabriès;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Cabriès" Cabriès
ABC de Carolles;Carolles;Carolles;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Carolles" Carolles
ABC de Celles-en-Bassigny;Celles-en-Bassigny;Celles-en-Bassigny;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Celles-en-Bassigny" Celles-en-Bassigny
ABC de Chalette-sur-Loing;Châlette-sur-Loing;Châlette-sur-Loing;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Châlette-sur-Loing" Châlette-sur-Loing
ABC de Champlan;Champlan;Champlan;2019;En cours;début 2019 → potentiellement terminé;"atlas de la biodiversité communale" "Champlan" Champlan
ABC de Champlan;;Champlan;2019;En cours;début 2019 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Champlan" Champlan
ABC de Charost;Chârost;Chârost;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Chârost" Chârost
ABC de Chauconin-Neufmontiers;;Chauconin-Neufmontiers;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Chauconin-Neufmontiers" Chauconin-Neufmontiers
ABC de Clisson;Clisson;Clisson;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "Clisson" Clisson
ABC de Coignières;Coignières;Coignières;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Coignières" Coignières
ABC de Coignières;;Coignières;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "de Coignières" Coignières
ABC de Combleux;Orléans Métropole Combleux;Combleux;2022;En cours;début 2022 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Orléans Métropole Combleux" Combleux
ABC de Controis-en-Sologne;Le Controis-en-Sologne;Le Controis-en-Sologne;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Le Controis-en-Sologne" Le Controis-en-Sologne
ABC de Corcoué-sur-Logne;;Corcoué-sur-Logne;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "de Corcoué-sur-Logne" Corcoué-sur-Logne
ABC de Courchevel;Courchevel;Courchevel;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Courchevel" Courchevel
ABC de Cuzion;Cuzion;Cuzion;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Cuzion" Cuzion
ABC de Dinan Agglomération;CA Dinan Agglomération;Dinan;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "CA Dinan Agglomération" Dinan
ABC de Doubs;Doubs;Doubs;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Doubs" Doubs
ABC de Fay sur Lignon;Fay-sur-Lignon;Fay-sur-Lignon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Fay-sur-Lignon" Fay-sur-Lignon
ABC de Fay-aux-loges;Fay-aux-Loges;Fay-aux-Loges;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Fay-aux-Loges" Fay-aux-Loges
ABC de Féricy;Féricy;Féricy;2010;En cours;début 2010 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Féricy" Féricy
ABC de Gasville-Oiseme;Gasville-Oisème;Gasville-Oisème;2022;En cours;début 2022 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Gasville-Oisème" Gasville-Oisème
ABC de Gourbeyre;Parc national de la Guadeloupe;Gourbeyre;2022;En cours;début 2022 → potentiellement terminé;"atlas de la biodiversité communale" "Parc national de la Guadeloupe" Gourbeyre
ABC de Grand Angoulême;CA du Grand Angoulême;Angoulême, Asnières-sur-Nouère, Balzac, Bouëx, Brie, Champniers, Claix, La Couronne, Dignac, Dirac, Fléac, Garat, Gond-Pontouvre, L'Isle-d'Espagnac, Jauldes, Linars, Magnac-sur-Touvre, Marsac, Mornac, Mouthiers-sur-Boëme, Nersac, Plassac-Rouffiac, Puymoyen, Roullet-Saint-Estèphe, Ruelle-sur-Touvre, Saint-Michel, Saint-Saturnin, Saint-Yrieix-sur-Charente, Sers, Sireuil, Soyaux, Torsac, Touvre, Trois-Palis, Vindelle, V½uil-et-Giget, Voulgézac, Vouzan;2020;En cours;début 2020 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "CA du Grand Angoulême" Angoulême
ABC de Gézaincourt;Gézaincourt;Gézaincourt;2017;En cours;début 2017 → potentiellement terminé;"atlas de la biodiversité communale" "Gézaincourt" Gézaincourt
ABC de La Celle-Dunoise;La Celle-Dunoise;La Celle-Dunoise;2016;En cours;début 2016 → potentiellement terminé;"atlas de la biodiversité communale" "La Celle-Dunoise" La Celle-Dunoise
ABC de La Croix Valmer;La Croix-Valmer;La Croix-Valmer;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "La Croix-Valmer" La Croix-Valmer
ABC de La Roche-sur-Yon Agglomération;CA La Roche-sur-Yon Agglomération;Aubigny-Les Clouzeaux, La Chaize-le-Vicomte, Dompierre-sur-Yon, La Ferrière, Fougeré, Landeronde, Mouilleron-le-Captif, Nesmy, Rives de l'Yon, Le Tablier, Thorigny, Venansault;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "CA La Roche-sur-Yon Agglomération" Aubigny-Les Clouzeaux
ABC de La Souterraine;La Souterraine;La Souterraine;2020;En cours;début 2020 → potentiellement terminé;"atlas de la biodiversité communale" "La Souterraine" La Souterraine
ABC de Lahonce;Lahonce;Lahonce;2021;En cours;début 2021 → potentiellement terminé;"atlas de la biodiversité communale" "Lahonce" Lahonce
ABC de Le Bignon;Le Bignon;Le Bignon;2023;En cours;début 2023 → potentiellement terminé;"atlas de la biodiversité communale" "Le Bignon" Le Bignon
ABC de Le Charme;Le Charme;Le Charme;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "Le Charme" Le Charme
ABC de Loire Forez Agglo (2021);CA Loire Forez Agglomération;Bard, Chazelles-sur-Lavieu, Écotay-l'Olme, Lérigneux, Lézigneux, Margerie-Chantagret, Roche, Verrières-en-Forez;2021;En cours;début 2021 → potentiellement terminé + statut figé à 2022 (archives);"atlas de la biodiversité communale" "CA Loire Forez Agglomération" Bard
